0,0
0.0003,0.0349
0.001,0.0692
0.0022,0.1146
0.0038,0.1594
0.0058,0.2041
0.0083,0.2489
0.0113,0.2937
0.0146,0.3384
0.0185,0.3832
0.0228,0.4279
0.0275,0.4727
0.0326,0.5174
0.0383,0.5621
0.0443,0.6068
0.0508,0.6515
0.0579,0.6972
0.0653,0.7409
0.0731,0.7862
0.0814,0.8308
0.0902,0.8764
0.0993,0.92
0.109,0.9661
0.1192,1.0105
0.1297,1.0555
0.1407,1.1004
0.1521,1.1453
0.164,1.1902
0.1764,1.2359
0.1891,1.2796
0.2024,1.3258
0.2161,1.3703
0.2303,1.4161
0.2449,1.46
0.2599,1.5064
0.2754,1.551
0.2915,1.597
0.3079,1.6418
0.3247,1.6871
0.342,1.7325
0.3598,1.7785
0.378,1.8234
0.3967,1.8696
0.4159,1.9146
0.4355,1.961
0.4556,2.0062
0.4761,2.0526
0.4971,2.098
0.5186,2.1446
0.5404,2.1901
0.5628,2.2368
0.5856,2.2824
0.6089,2.3299
0.6327,2.3753
0.6568,2.4218
0.6816,2.4696
0.7067,2.5153
0.7323,2.5627
0.7585,2.6098
0.785,2.657
0.812,2.7038
0.8396,2.7523
0.8676,2.7994
0.896,2.8467
0.925,2.8956
0.9544,2.9427
0.9843,2.992
1.0147,3.04
1.0456,3.0887
1.077,3.1382
1.1089,3.1869
1.1413,3.2363
1.1741,3.2859
1.2075,3.3363
1.2413,3.386
1.2756,3.4363
1.3106,3.4879
1.3459,3.5377
1.3818,3.5902
1.4182,3.6411
1.4552,3.6935
1.4926,3.7455
1.5306,3.799
1.5691,3.8514
1.6082,3.9052
1.6477,3.9592
1.6879,4.0139
1.7286,4.0682
1.7698,4.1238
1.8116,4.18
1.854,4.2361
1.897,4.2933
1.9404,4.3503
1.9845,4.4092
2.0292,4.4675
2.0744,4.5269
2.1203,4.5872
2.1668,4.648
2.2139,4.7096
2.2616,4.772
2.31,4.8353
2.359,4.8994
2.4086,4.9644
2.4589,5.0305
2.5099,5.0974
2.5615,5.1654
2.6138,5.2346
2.6669,5.3049
2.7207,5.3764
