0.0001,0,0,0,0
0.0007,0.0575,5.5555,-0.006,0.0138
0.0021,0.1524,9.7106,-0.0252,0.0365
0.0046,0.251,9.905,-0.0619,0.0602
0.0082,0.3508,9.9783,-0.1172,0.0842
0.0127,0.4509,9.9941,-0.1912,0.1084
0.0181,0.5505,10.0499,-0.2835,0.1326
0.0246,0.6502,9.9468,-0.3946,0.1571
0.0321,0.7503,10.0071,-0.5252,0.1818
0.0406,0.8502,10.0081,-0.6748,0.2068
0.0502,0.9503,9.9797,-0.8441,0.232
0.0607,1.0505,10.0155,-1.0333,0.2575
0.0721,1.1503,10.0151,-1.242,0.2833
0.0847,1.2503,9.9703,-1.4713,0.3094
0.0981,1.3503,10.022,-1.7216,0.3359
0.1126,1.4501,10.0017,-1.9924,0.3628
0.1281,1.55,9.987,-2.2851,0.3901
0.1447,1.6501,9.9931,-2.6004,0.4178
0.1621,1.7502,10.0139,-2.938,0.4461
0.1806,1.85,10.0002,-3.2982,0.4747
0.2001,1.95,9.9898,-3.6823,0.5039
0.2206,2.05,10.0084,-4.0905,0.5336
0.2422,2.1501,9.9854,-4.5238,0.5638
0.2646,2.2502,10.0153,-4.9824,0.5945
0.2882,2.3501,9.9937,-5.4664,0.6258
0.3126,2.4501,10.0091,-5.9768,0.6575
0.3381,2.55,9.9904,-6.5143,0.6898
0.3647,2.6501,9.9951,-7.0803,0.7226
0.3922,2.7501,10.0087,-7.6745,0.7558
0.4206,2.8501,10.0017,-8.2969,0.7894
0.4501,2.95,9.9959,-8.949,0.8235
0.4806,3.05,9.9995,-9.6312,0.8579
0.5121,3.15,10.0025,-10.3438,0.8926
0.5446,3.25,9.9973,-11.0871,0.9275
0.5781,3.35,10.0003,-11.8616,0.9625
0.6126,3.45,10.0028,-12.6671,0.9975
0.6481,3.55,9.9979,-13.5039,1.0324
0.6846,3.65,10.0003,-14.372,1.0671
0.7221,3.75,9.9957,-15.2714,1.1014
0.7606,3.8501,10.0043,-16.2013,1.1352
0.8002,3.9501,9.9993,-17.1607,1.1682
0.8407,4.0501,10.0007,-18.149,1.2003
0.8821,4.1501,10.0017,-19.1649,1.2312
0.9246,4.25,10.0023,-20.2066,1.2607
0.9681,4.35,9.9918,-21.2737,1.2885
1.0126,4.45,10.0086,-22.3633,1.3145
1.0581,4.55,9.9924,-23.4732,1.3384
1.1046,4.65,10.0078,-24.6006,1.3598
1.1521,4.75,9.9969,-25.7424,1.3785
1.2006,4.85,9.9963,-26.8964,1.3943
1.25,4.9332,8.3178,-28.0562,1.402
1.2998,4.9792,4.5988,-29.212,1.3962
1.3501,5.0307,5.1541,-30.3571,1.389
1.4009,5.0901,5.9399,-31.4893,1.3807
1.4525,5.1579,6.784,-32.6078,1.3714
1.5049,5.235,7.7015,-33.711,1.3608
1.5581,5.322,8.7039,-34.7968,1.349
1.6123,5.4189,9.6871,-35.8637,1.3354
1.6675,5.5189,9.9975,-36.9097,1.3181
1.7237,5.6189,10.0051,-37.9304,1.2962
1.7809,5.7189,9.9951,-38.9225,1.2696
1.8391,5.8189,10.0014,-39.8827,1.2381
1.8982,5.9189,10.0035,-40.8067,1.2018
1.9584,6.0188,9.998,-41.6915,1.1605
2.0196,6.1189,9.9967,-42.5345,1.1141
2.0818,6.2189,10.0028,-43.3324,1.0627
2.145,6.3189,10.0015,-44.0819,1.0061
2.2092,6.4189,10.0005,-44.7807,0.9442
2.2744,6.5189,9.9961,-45.4266,0.8768
2.3406,6.6189,10.0024,-46.0171,0.8041
2.4077,6.7189,10.0018,-46.5497,0.7256
2.4759,6.8184,9.9488,-47.0225,0.6412
2.544,6.8049,-1.3476,-47.4305,0.5433
2.611,6.7049,-9.9987,-47.7686,0.4397
2.6771,6.6049,-10.0031,-48.0378,0.3386
2.7421,6.5049,-10.0006,-48.2418,0.2398
2.8062,6.4049,-9.9978,-48.384,0.1434
2.8692,6.3049,-9.9987,-48.4678,0.0494
2.9313,6.2049,-10.0033,-48.4964,0.0421
2.9923,6.1049,-9.9965,-48.4727,0.1262
3.0524,6.0049,-10.0051,-48.3997,0.2034
3.1114,5.9049,-9.994,-48.2801,0.2742
3.1694,5.8049,-10.0067,-48.1166,0.3388
3.2265,5.7049,-9.9951,-47.9118,0.3979
3.2826,5.6048,-9.9996,-47.6679,0.4519
3.3376,5.5048,-10.0044,-47.3875,0.5009
3.3917,5.4049,-9.9961,-47.073,0.5454
3.4447,5.3048,-10.0007,-46.7264,0.5856
3.4968,5.2048,-10.001,-46.3501,0.6217
3.5478,5.1048,-10.0013,-45.9463,0.654
3.5979,5.0048,-9.9966,-45.5169,0.6827
3.6469,4.9049,-10.0063,-45.0644,0.7078
3.695,4.8049,-9.9917,-44.5905,0.7298
3.742,4.7048,-10.0065,-44.0972,0.7485
3.7881,4.6049,-9.9964,-43.5869,0.7643
3.8331,4.5049,-10.0014,-43.0611,0.7772
3.8771,4.4049,-10.0013,-42.5222,0.7874
3.9202,4.3049,-9.9957,-41.9718,0.795
3.9623,4.2048,-10.001,-41.4116,0.8002
4.0033,4.1048,-10.001,-40.8439,0.8029
4.0434,4.0048,-10.0009,-40.2704,0.8035
4.0824,3.9048,-10.0009,-39.6928,0.802
4.1204,3.8048,-10.0009,-39.113,0.7984
4.1575,3.7048,-9.9944,-38.5321,0.793
4.1935,3.6048,-10.0075,-37.9522,0.7858
4.2286,3.5049,-9.9942,-37.3747,0.7769
4.2626,3.4048,-10.001,-36.8007,0.7664
4.2957,3.3048,-10.0013,-36.2322,0.7545
4.3277,3.2049,-10.0017,-35.6703,0.7413
4.3588,3.1048,-9.9942,-35.116,0.7267
4.3888,3.0048,-10.0022,-34.5706,0.711
4.4179,2.9048,-10.0029,-34.0355,0.6942
4.446,2.8048,-9.9949,-33.5115,0.6764
4.473,2.7047,-10.0041,-32.9996,0.6577
4.499,2.6048,-10.0054,-32.5013,0.6382
4.5241,2.5048,-9.9868,-32.0164,0.6179
4.5482,2.4047,-10.0069,-31.5459,0.5969
4.5712,2.3048,-10.0088,-31.0914,0.5753
4.5932,2.2048,-9.9881,-30.6528,0.5531
4.6143,2.1047,-9.9995,-30.2302,0.5304
4.6343,2.0048,-10.0134,-29.8253,0.5073
4.6534,1.9048,-9.9899,-29.438,0.4838
4.6714,1.8049,-10.0038,-29.0684,0.4599
4.6885,1.7048,-9.9908,-28.717,0.4356
4.7045,1.6047,-10.0066,-28.3842,0.4111
4.7196,1.5046,-9.9923,-28.0704,0.3863
4.7336,1.4046,-10.0108,-27.776,0.3614
4.7467,1.3046,-9.995,-27.5012,0.3362
4.7587,1.2047,-10.0174,-27.2464,0.311
4.7698,1.1047,-9.9763,-27.0112,0.2856
4.7798,1.0045,-9.9972,-26.7954,0.26
4.7889,0.9046,-10.0279,-26.6003,0.2343
4.7969,0.8046,-9.9739,-26.4254,0.2086
4.804,0.7044,-10.0027,-26.2704,0.1828
4.81,0.6043,-10.0065,-26.136,0.1569
4.8151,0.5044,-10.0132,-26.0222,0.131
4.8191,0.4042,-9.9554,-25.9287,0.105
4.8222,0.3036,-10.0048,-25.8555,0.0789
4.8242,0.2032,-10.0178,-25.8032,0.0528
4.8253,0.0991,-9.6443,-25.7712,0.0258
